x,y,z
-0.0622169,0.0610394,-0.666712
0.101684,0.0587208,-0.662165
-0.11088,0.104817,-0.659093
-0.0234247,0.102488,-0.686089
0.0418132,0.0915253,-0.674618
0.147393,0.0974596,-0.664592
-0.160597,0.135366,-0.672871
0.0513474,0.149755,-0.663744
0.0976363,0.120772,-0.688581
0.139594,0.15692,-0.665558
-0.0751603,0.19617,-0.673433
0.0267359,0.20831,-0.667465
-0.0896901,-0.189922,-0.627299
0.120265,-0.172178,-0.64688
-0.171755,-0.120839,-0.628166
-0.0799075,-0.134339,-0.652944
0.0730103,-0.137897,-0.633144
0.162447,-0.133181,-0.629637
-0.00714087,-0.115271,-0.641007
-0.148845,-0.0567464,-0.626626
-0.0916101,-0.0796385,-0.628705
0.0431135,-0.0832376,-0.647611
0.1493,-0.0573525,-0.642924
-0.204672,-0.0474172,-0.646322
-0.0639152,-0.0283744,-0.642868
0.206281,-0.0395078,-0.648414
-0.173053,0.00342342,-0.643112
-0.113156,0.00578617,-0.641743
0.0889349,0.00273419,-0.64495
0.209399,0.0161117,-0.626199
-0.144305,0.0552172,-0.655042
-0.00360844,0.0624014,-0.646111
0.198631,0.0683932,-0.653511
-0.188293,0.0931738,-0.640496
0.0842448,0.107357,-0.631725
-0.0688412,0.144726,-0.643406
-0.00926655,0.150934,-0.640241
-0.123099,0.170179,-0.641559
-0.026691,0.208321,-0.640231
0.0767094,0.195496,-0.634347
-0.0122379,-0.209736,-0.599704
0.0778152,-0.195092,-0.609692
-0.135377,-0.160596,-0.601841
-0.0396216,-0.158956,-0.615933
0.0206887,-0.164113,-0.620263
-0.0857969,-0.12791,-0.593631
0.0605285,-0.0913162,-0.590833
0.117149,-0.109621,-0.59817
0.19228,-0.0845544,-0.611151
-0.195364,-0.0770349,-0.59463
-0.0302547,-0.0677627,-0.612731
0.0948118,-0.0508749,-0.618783
-0.104327,-0.0313398,-0.595534
0.207727,-0.0309704,-0.589086
-0.209522,-0.0145245,-0.59648
-0.00319118,-0.0112728,-0.616595
0.0538829,-0.0105584,-0.598108
0.142707,-0.00545999,-0.613586
-0.205528,0.0432145,-0.612132
-0.147653,0.0348036,-0.598751
-0.0463618,0.0303273,-0.614224
0.00768236,0.0418341,-0.590981
0.0993593,0.0277679,-0.588777
-0.0974532,0.0614576,-0.618163
0.0573214,0.0546617,-0.622039
0.138857,0.0642012,-0.615454
0.194794,0.0784856,-0.594583
-0.0465964,0.0945144,-0.619451
0.0256583,0.107095,-0.618919
-0.160136,0.135874,-0.609221
-0.102812,0.118763,-0.601378
0.167302,0.12708,-0.616492
0.124287,0.169291,-0.608904
-0.0776373,0.19515,-0.611473
0.0246693,0.208593,-0.607548
-0.0651757,-0.199658,-0.573479
0.0346616,-0.207143,-0.562468
0.12628,-0.167846,-0.587246
-0.169342,-0.124277,-0.568344
0.0584764,-0.149353,-0.57611
0.167542,-0.126638,-0.570277
-0.125336,-0.085111,-0.579401
0.00458458,-0.111545,-0.582297
-0.0672226,-0.077701,-0.566579
0.0163579,-0.0528767,-0.578087
0.0914922,-0.0511116,-0.558893
